book_index_id,author
7188,Julie Klassen (Goodreads Author)
7189,Alex Sanchez (Goodreads Author)
7190,Gabriel García Márquez
7191,Clive Barker (Goodreads Author)
7192,Kami Garcia (Goodreads Author)
7193,Idries Shah
7193,Robert Graves (Introduction)
7194,Cassandra Clare (Goodreads Author)
7194,Hye-Kyung Baek (Illustrator)
7194,Hyekyung Baek (Illustrator)
7195,Giorgio Faletti
7196,Kelly Elliott (Goodreads Author)
7197,Jo Nesbø (Goodreads Author)
7197,Charlotte Barslund (translator)
7198,Friedrich Dürrenmatt
7198,John J. Neumaier (Editor)
7198,William Gillis (Editor)
7199,Lian Hearn
7200,Hugh Howey (Goodreads Author)
7201,Zoje Stage (Goodreads Author)
7202,Ralph Waldo Emerson
7202,Joel Porte (Editor)
7203,Pope John Paul II
7203,The Catholic Church
7203,Benedict XVI (Contributor)
7203,United States Conference of Catholic Bishops
7204,Gail Carriger (Goodreads Author)
7205,A.N. Roquelaure (pseudonym)
7205,Anne Rice
7206,Sandra Carvalho
7207,Johanna Sinisalo
7207,Herbert Lomas (Translator)
7208,Jenny Carroll
7208,Meg Cabot (Goodreads Author)
7209,Christine Feehan (Goodreads Author)
7210,C.S. Friedman
7211,Daniel C. Dennett
7212,Rachel Vincent (Goodreads Author)
7213,Julian May
7214,Julian May
7215,Anne McCaffrey
7216,Tere Liye (Goodreads Author)
7217,Tillie Cole (Goodreads Author)
7218,J.M. Darhower (Goodreads Author)
7219,Rachel Caine (Goodreads Author)
7220,Kerstin Gier
7221,Ramón del Valle-Inclán
7221,Alonso Zamora Vicente (Editor)
7222,J.D. Barker (Goodreads Author)
7223,Yaşar Kemal
7224,Jane Smiley (Goodreads Author)
7225,Molly Harper (Goodreads Author)
7226,Gordon R. Dickson
7227,Robert Graysmith (Goodreads Author)
7228,Jennifer Crusie (Goodreads Author)
7228,Bob Mayer (Goodreads Author)
7229,Nova Ren Suma
7230,Cecelia Ahern
7231,Philip Pullman (Editor)
7231,Jacob Grimm
7231,Wilhelm Grimm
7232,Boethius
7232,Victor Watts (Goodreads Author) (Translator)
7233,Agatha Christie
7233,Phoebe Judge (Narrator)
7234,Hiroshi Sakurazaka
7234,Alexander O. Smith (Translator)
7235,Suzanne Wright (Goodreads Author)
7236,Samantha Young (Goodreads Author)
7237,Allen Ginsberg
7237,William Carlos Williams (Introduction)
7238,Elizabeth Wein (Goodreads Author)
7239,Joey W. Hill (Goodreads Author)
7240,L. Frank Baum
7240,David McKee (Illustrations)
7241,Lucian Bane (Goodreads Author)
7242,أبو حامد الغزالي
7242,Abu Hamid al-Ghazali
7243,M.K. Eidem (Goodreads Author)
7244,Vicki Hendricks
7244,Megan Abbott (Goodreads Author) (Afterword)
7244,Ken Bruen (Foreword)
7245,Robert Dugoni (Goodreads Author)
7246,Jenn Bennett (Goodreads Author)
7247,Margaret Weis (Goodreads Author)
7247,Tracy Hickman (Goodreads Author)
7248,Graham Hancock (Goodreads Author)
7248,Santha Faiia (Photographer)
7249,Laura Whitcomb (Goodreads Author)
7250,Margaret Peterson Haddix
7251,Marcus Sedgwick (Goodreads Author)
7252,Julie Anne Peters
7253,Maggie Stiefvater (Goodreads Author)
7254,Simone de Beauvoir
7255,Carl Sagan
7255,Ann Druyan (Goodreads Author)
7256,Santiago Posteguillo
7257,Quinn Loftis (Goodreads Author)
7258,Alain de Botton (Goodreads Author)
7259,Neil Gaiman (Goodreads Author)
7259,Michael Zulli (Illustrator)
7259,Jon J. Muth (Illustrator)
7259,Charles Vess (Illustrator)
7259,Mikal Gilmore (Introduction)
7260,Philippa Gregory (Goodreads Author)
7261,Isaac Asimov
7262,Larissa Ione (Goodreads Author)
7263,Gene Wolfe
7264,Jessica Spotswood (Goodreads Author)
7265,Derek Landy
7266,James Riley (Goodreads Author)
7267,Jen Wang (Goodreads Author)
7268,Tahereh Mafi
7269,Curtis Sittenfeld (Goodreads Author)
7270,Patrick McCabe
7271,Anna Gavalda
7271,Karen L. Marker (Translator)
7272,Kevin Brockmeier
7273,Isuna Hasekura
7273,Juu Ayakura (Illustrator)
7273,Paul Starr (Translator)
7274,Rudyard Kipling
7275,Elizabeth Chandler
7276,Abigail Roux (Goodreads Author)
7277,Bill Simmons
7278,Vladimir Nabokov
7278,Michael Scammell (Translator)
7278,Dmitri Nabokov (Translator)
7279,Margaret Atwood (Goodreads Author)
7280,Ridley Pearson
7281,Nora Roberts (Goodreads Author)
7282,Paul Theroux
7283,Oliver Sacks
7284,Ray Dalio (Goodreads Author) (Author/Narrator)
7284,Jeremy Bobb (Narrator)
7285,Tsugumi Ohba
7285,Takeshi Obata (Illustrator)
7285,Tetsuichiro Miyaki (Translator)
7286,T. Coraghessan Boyle (Goodreads Author)
7287,Karen Kingsbury (Goodreads Author)
7288,Julian May
7289,Michelle Paver
7290,Irene Hunt
7291,Aimee Carter (Goodreads Author)
7292,Apuleius
7292,Jack Lindsay (Translator
7292,introduction)
7292,Claudio Annaratone (translator)
7293,Laurelin Paige (Goodreads Author)
7294,Banana Yoshimoto
7294,Giorgio Amitrano (Translator)
7294,Michael Emmerich (Translator)
7295,Elly Blake (Goodreads Author)
7296,Rupert Thomson
7297,Joseph Heller
7298,Maggie O'Farrell (Goodreads Author)
7298,Daniela Nardini (Narrator)
7299,Nora Roberts (Goodreads Author)
7300,Carol Lynch Williams
7301,Wayne W. Dyer
7302,Isobelle Carmody (Goodreads Author)
7303,Brandon Mull (Goodreads Author)
7304,Jim Harrison
7305,April Lindner (Goodreads Author)
7306,Shan Sa
7307,Maureen Johnson (Goodreads Author)
7308,Rachel Van Dyken (Goodreads Author)
7309,Robert Walser
7309,Christopher Middleton (Translator
7309,Introduction)
7310,Jennifer Lynn Barnes (Goodreads Author)
7311,Diane Chamberlain (Goodreads Author)
7312,Sarina Bowen (Goodreads Author)
7312,Elle Kennedy (Goodreads Author)
7313,Ibn Khaldun
7313,Danyal Nicholson
7313,Franz Rosenthal (Translator)
7314,Glenis Kellet (Goodreads Author)
7315,V.C. Andrews
7316,Starr Gardinier (Goodreads Author)
7317,Nelson DeMille (Goodreads Author)
7318,Christopher Pike
7319,Nora Roberts (Goodreads Author)
7320,Richard Kadrey
7321,Sinclair Lewis
7321,Michael R. Meyer (Introduction)
7322,Meg Cabot (Goodreads Author)
7323,Natsuki Takaya
7324,Alejandro Casona
7325,Victor Hugo
7325,Geoff Woollen (Translator)
7325,LibPurves (Foreword by)
7326,Oscar Wilde
7326,George Arthur Lareau (Editor)
7326,Luca Scarlini (Redattore)
7327,Malcolm Gladwell
7328,Nicole Jacquelyn (Goodreads Author)
7329,Malcolm Gladwell
7330,Rae Carson
7331,Cassandra Clare (Goodreads Author)
7331,Sarah Rees Brennan (Goodreads Author)
7331,Devon Bostick (Narrator)
7332,Anthony Burgess
7333,M.M. Kaye
7334,J.M. Johnson (Goodreads Author)
7335,Karl Wiggins (Goodreads Author)
7336,Alexandra Bracken (Goodreads Author)
7337,Lewis Carroll
7337,John Tenniel (Illustrator)
7338,Jessica Townsend (Goodreads Author)
7338,Jim Madsen (Illustrator)
7339,Tamora Pierce (Goodreads Author)
7340,William Shakespeare
7340,Barbara A. Mowat (Editor)
7340,Paul Werstine (Editor)
7341,H.G. Bissinger
7342,L.A. Meyer
7343,Anne Rice
7344,Amy Hempel
7345,Tawfiq Al-Hakim
7345,توفيق الحكيم
7346,Garth Nix (Goodreads Author)
7347,R.J. Anderson (Goodreads Author)
7348,Sarah Crossan (Goodreads Author)
7349,Kate Elliott (Goodreads Author)
7350,Amanda Hocking (Goodreads Author)
7351,Anna Othitis (Goodreads Author)
7352,J.R. Ward (Goodreads Author)
7353,Eliyahu M. Goldratt
7353,Jeff Cox
7354,Cecelia Ahern
7355,Kerry Lonsdale (Goodreads Author)
7356,Tahereh Mafi
7357,Kurt Vonnegut Jr.
7358,Madeleine L'Engle
7359,Kate Brian
7360,Maja Lidia Kossakowska
7361,Joan Bauer
7362,Georgette Heyer
7363,Meg Cabot (Goodreads Author)
7364,Jan Terlouw
7364,Dirk van der Maat (Illustrator)
7365,Anton Myrer
7366,Isaac Bashevis Singer
7366,Cecil Hemley (Translator)
7367,Sarah Mlynowski (Goodreads Author)
7368,Peter Watts (Goodreads Author)
7369,Evelyn Waugh
7370,Bernard Cornwell (Goodreads Author)
7371,أحمد الشقيري (Goodreads Author)
7372,Kimberly McCreight (Goodreads Author)
7373,Rae Carson
7374,Guy de Maupassant
7375,René Barjavel
7376,Cathy Octo (Goodreads Author)
7377,Helen Hardt (Goodreads Author)
7378,Chris Colfer
7378,Brandon Dorman (Illustrator)
7379,John Boyne
7380,Liz Cowan (Goodreads Author)
7381,Gary B. Shelly
7382,Emery Lord (Goodreads Author)
7383,Karl Marx
7383,Friedrich Engels (Editor)
7383,Serge L. Levitsky (Introduction)
7384,Michael Moorcock
7385,Michelle Paver
7386,Margaret Weis (Goodreads Author)
7386,Tracy Hickman (Goodreads Author)
7387,Michelle Paver
7388,Lynn Viehl
7389,Charlaine Harris (Goodreads Author)
7390,David Almond
7391,Dante Alighieri
7391,Mark Musa (Translator)
7392,Albert B. Facey
7393,Julian May
7394,Conn Iggulden
7395,Sheldon Vanauken
7395,C.S. Lewis (Contributor)
7396,T.S. Eliot
7396,Edward Gorey (Illustrator)
7397,Samuel Beckett
7398,Chelsea Fine (Goodreads Author)
7399,Audre Lorde
7400,Chris Carter
7401,B.B. Reid (Goodreads Author)
7402,Leonard Mlodinow
7403,Naomi Novik (Goodreads Author)
7404,Bryce Courtenay
7405,Guy Gavriel Kay (Goodreads Author)
7406,Elmore Leonard
7407,Lemony Snicket (Goodreads Author)
7408,Ernest Hemingway
7409,Patricia Briggs
7409,Eileen Wilks (Goodreads Author)
7409,Karen Chance (Goodreads Author)
7409,Sunny
7410,James L. Swanson
7411,Ilana Tan
7412,Susan Faludi
7413,Frank Beddor (Goodreads Author)
7414,Xinran
7414,Esther Tyldesley (Translator)
7415,Rachel Higginson (Goodreads Author)
7416,Elizabeth Hunter (Goodreads Author)
7417,Carlos Castañeda
7418,Marion Zimmer Bradley
7419,Brian Sibley
7420,Paige Weaver (Goodreads Author)
7421,Alyson Noel (Goodreads Author)
7422,Jean-Christophe Grangé
7423,Anna Quindlen
7424,حسن الجندي
7425,Julie Garwood (Goodreads Author)
7426,Steve Silberman
7427,Jennifer Mathieu (Goodreads Author)
7428,Christopher Greyson (Goodreads Author)
7429,Angela Sommer-Bodenburg
7430,Richard Brautigan
7431,Anne Rice
7432,Éric-Emmanuel Schmitt
7433,Patrick O'Brian
7434,Peter Matthiessen
7435,Michael Crichton
7436,Mildred D. Taylor
7437,Amelia Hutchins (Goodreads Author)
7438,Autumn Jones Lake (Goodreads Author)
7439,Helen Hoang (Goodreads Author)
7440,Maddie Dawson (Goodreads Author)
7441,Andrew Sean Greer
7442,Anne McCaffrey
7443,L.A. Meyer
7444,Bryan Davis (Goodreads Author)
7445,Terry Brooks (Goodreads Author)
7446,Simon Holt
7447,Matsuri Hino
7448,Anton Chekhov
7448,Richard Pevear (Translator)
7448,Larissa Volokhonsky (Translator)
7449,Bryan Davis (Goodreads Author)
7450,C.L. Wilson (Goodreads Author)
7451,Joan Bauer
7452,Sharon Kay Penman (Goodreads Author)
7453,Reginald Rose
7453,David Mamet (Introduction)
7454,Lars Kepler (Goodreads Author)
7454,Ann Long (Translation)
7455,Nalini Singh (Goodreads Author)
7456,Becca Fitzpatrick (Goodreads Author)
7457,G. Willow Wilson (Goodreads Author)
7457,Adrian Alphona (Artist)
7458,Edgar Allan Poe
7458,Harry Clarke (Illustrator)
7459,Joseph O'Connor
7460,John le Carré
7461,Kate Brian
7462,Vince Flynn
7463,Peter Matthiessen
7464,L.A. Meyer
7465,Marianne Curley (Goodreads Author)
7466,Camil Petrescu
7467,Karen Russell (Goodreads Author)
7468,Yōko Ogawa
7468,Stephen Snyder (Translator)
7469,Jay Kopelman
7469,Melinda Roth
7470,Jeff VanderMeer (Goodreads Author)
7471,Nikos Kazantzakis
7472,Sara Barnard (Goodreads Author)
7473,Ryszard Kapuściński
7473,Klara Glowczewska (Translator)
7474,Ottessa Moshfegh
7475,Nora Roberts (Goodreads Author)
7476,Jennifer Lynn Barnes (Goodreads Author)
7477,Jennifer Lynn Barnes (Goodreads Author)
7478,Irvin D. Yalom
7479,Rick Riordan (Goodreads Author) (Contributor)
7479,Leah Wilson (Goodreads Author)
7479,Rafael Gustavo Spiegel (Translator)
7479,Elizabeth M. Rees (Contributor)
7479,Janaína Senna (Translator)
7479,Nigel Rodgers (Contributor)
7479,Ellen Steiber (Contributor)
7479,Paul Collins (Goodreads Author) (Contributor)
7479,more…
7480,Sharon Creech
7481,Jean de La Fontaine
7481,Craig Hill (Translator)
7481,Edward Sorel (Illustrator)
7482,Allan Frewin Jones
7483,Kelley Armstrong (Goodreads Author)
7484,P.C. Cast (Goodreads Author)
7484,Kristin Cast (Goodreads Author)
7485,James Herbert
7486,Esther Hicks
7486,Jerry Hicks
7487,William Wordsworth
7487,Samuel Taylor Coleridge
7487,Michael Schmidt (Editor)
7488,Kristen Ashley (Goodreads Author)
7489,Andrus Kivirähk
7489,Sirje Ratso (Editor)
7490,P.C. Cast (Goodreads Author)
7491,Clare Vanderpool
7492,Elle Brace (Goodreads Author)
7493,David Arnold (Goodreads Author)
7494,Pierre Bottero
7495,I.T. Lucas (Goodreads Author)
7496,Meg Waite Clayton (Goodreads Author)
7497,Jay Kristoff (Goodreads Author)
7498,Robert Merle
7499,Patricia C. Wrede (Goodreads Author)
7499,Peter de Sève (Illustrator)
7500,James H. Schmitz
7501,Nalini Singh (Goodreads Author)
7502,L.A. Meyer
7503,Melinda Haynes
7504,Isabel Allende (Goodreads Author)
7504,Margaret Sayers Peden (Translator)
7505,Chris d'Lacey
7506,Walter Tevis
7507,Richard P. Feynman
7507,Jeffrey Robbins (Editor)
7507,Freeman Dyson (foreword)
7508,Stefan Zweig
7508,M. Eden Paul (Translator)
7508,Cedar Paul (Translator)
7509,Paul Auster
7510,Aimee Carter (Goodreads Author)
7511,Søren Kierkegaard
7511,Alastair Hannay (Translator)
7512,Edgar Allan Poe
7513,Alexandre Dumas
7513,Gilbert Sigaux (Editor)
7513,Jean-Yves Tadié (Préface)
7514,Menelaos Lountemis
7514,Mενέλαος Λουντέμης
7515,Joseph Boyden
7516,L.A. Casey (Goodreads Author)
7517,Cecelia Ahern
7518,David Baldacci (Goodreads Author)
7519,Soman Chainani (Goodreads Author)
7519,Iacopo Bruno (Illustrator)
7520,Frank Warren
7521,Jack Weatherford
7522,D.J. MacHale (Goodreads Author)
7523,Liviu Rebreanu
7524,Joss Whedon (Writer)
7524,John Cassaday (Artist)
7525,Joseph Conrad
7525,Robert Hampson (Editor)
7526,James Goldman
7527,Evangeline Anderson (Goodreads Author)
7528,Leo Tolstoy
7528,Isai Kamen (Translator)
7528,Doris Lessing (Introduction)
7529,Abraham Lopez (Goodreads Author)
7530,Eric Nierstedt (Goodreads Author)
7531,Robin Jones Gunn (Goodreads Author)
7532,James A. Michener
7533,Anita Shreve
7533,Michèle Valencia (translator)
7534,N.D. Wilson (Goodreads Author)
7535,Grant Morrison
7535,Frank Quitely (Illustrator)
7536,Bill Willingham (Goodreads Author) (Writer)
7536,Lan Medina (Artist)
7536,Steve Leialoha (Artist)
7536,Terry Moore (Illustrator)
7536,Mike Allred (Illustrator)
7536,Mark Buckingham
7536,Matthew Sturges (Goodreads Author) (Editor)
7536,Russ Braun (Illustrator)
7536,more…
7537,Thomas Aquinas
7538,Mira Lyn Kelly (Goodreads Author)
7539,Peter James
7540,Abbi Glines (Goodreads Author)
7540,Heidi Lichtblau (Translator)
7541,Sharon Creech
7542,Tillie Cole (Goodreads Author)
7543,Markus Heitz
7544,Katrin Schumann (Goodreads Author)
7545,Nancy Huston
7546,Laura Moriarty (Goodreads Author)
7547,James Thurber
7547,Marc Simont (Illustrator)
7548,Vince Flynn
7549,Pat Murphy (Goodreads Author)
7550,Heinrich Böll
7550,Patrick Bowles (Translator)
7551,Christopher Pike
7552,C.S. Lewis
7553,Bella Andre (Goodreads Author)
7554,Maria V. Snyder (Goodreads Author)
7555,Ivan Vazov
7555,Иван Вазов
7556,Veronica Roth (Goodreads Author)
7557,Rainer Maria Rilke
7557,Stephen Mitchell (Goodreads Author) (Editor/Translator)
7557,Robert Hass (Introduction)
7558,Alexandria Ayers (Goodreads Author)
7559,J.J. Abrams
7559,Doug Dorst (Goodreads Author)
7560,Dean Koontz (Goodreads Author)
7561,Elin Hilderbrand (Goodreads Author)
7562,Ngũgĩ wa Thiong'o
7563,Raymond Carver
7564,Amelia Atwater-Rhodes (Goodreads Author)
7565,Arkady Strugatsky
7565,Boris Strugatsky
7565,Аркадий Стругацкий
7565,Борис Стругацкий
7566,Mary Karr
7567,Mia James
7568,Margaret George (Goodreads Author)
7569,Jennifer Echols (Goodreads Author)
7570,Jean-Paul Sartre
7570,Arlette Elkaïm-Sartre (Preface)
7570,Annie Cohen-Solal (Introduction)
7570,Carol Macomber (Translator)
7571,Dorothea Benton Frank
7572,Gilbert Adair
7573,Monica Murphy (Goodreads Author)
7574,Leopoldo Alas
7575,Chuck Palahniuk (Goodreads Author)
7576,Lauren Myracle
7577,Christopher Daniel Mechling (Goodreads Author)
7578,Laura Kinsale (Goodreads Author)
7579,Louise Gornall (Goodreads Author)
7580,B.N. Toler (Goodreads Author)
7581,Chris Colfer
7581,Brandon Dorman (Illustrator)
7582,Matthew Farrell (Goodreads Author)
7583,Don Marquis
7584,Leah Cypess (Goodreads Author)
7585,Gerard Way (Writer)
7585,Gabriel Bá (Artist)
7585,Dave Stewart (Colourist)
7586,Katsura Hoshino
7586,Mayumi Kobayashi (Translator)
7587,Andrew Klavan (Goodreads Author)
7588,Janet Evanovich (Goodreads Author)
7589,David Eddings
7589,Leigh Eddings
7590,Jack Campbell
7591,Mark Twain
7591,Justin Kaplan (Introduction)
7592,Michio Kaku
7593,Bodie Thoene (Goodreads Author)
7593,Brock Thoene
7594,Derek Landy
7595,Steven Pressfield (Goodreads Author)
7595,Robert McKee (Foreword)
7596,James Dashner (Goodreads Author)
7597,J.D. Tyler (Goodreads Author)
7598,Ian McEwan
7599,Jennifer Lauck (Goodreads Author)
7600,Hillary Rodham Clinton
7601,Chuck Palahniuk (Goodreads Author)
7601,Cameron Stewart (Goodreads Author)
7601,David W. Mack (Illustrations)
7602,Laura Sebastian (Goodreads Author)
7603,Friedrich Dürrenmatt
7603,Patrick Bowles (Translator)
7604,Ann Rule
7605,Steven Levy (Goodreads Author)
7606,William Horwood
7607,Sylvia Plath
7607,Ted Hughes (Editor)
7608,Tim Bowler
7609,Anne Bishop
7610,Megan Hart (Goodreads Author)
7611,Ernest Hemingway
7612,Michael J. Sullivan (Goodreads Author)
7613,Karla Luna (Goodreads Author)
7614,Fiona Barton (Goodreads Author)
7615,Huntley Fitzpatrick (Goodreads Author)
7616,Noah Hawley (Goodreads Author)
7617,Anthony Powell
7618,Philippa Gregory (Goodreads Author)
7619,Laurie Faria Stolarz (Goodreads Author)
7620,Louise Murphy
7621,Storm Constantine (Goodreads Author)
7622,Gore Vidal
7623,Andrzej Sapkowski
7624,Kurt Vonnegut Jr.
7625,Bridget Zinn
7626,Christina Lauren (Goodreads Author)
7627,Sue Townsend
7628,Nora Roberts (Goodreads Author)
7629,Arturo Pérez-Reverte
7629,Andrew Hurley (translator)
7630,Danielle Paige (Goodreads Author)
7631,Victoria Quinn (Goodreads Author)
7632,Kerry Anne King (Goodreads Author)
7633,Connie Glynn
7634,Stephen Colbert (Contributor/Editor)
7634,Richard Dahm (Contributor/Editor)
7634,Paul Dinello (Contributor/Editor)
7634,Allison Silverman (Contributor/Editor)
7634,Michael Brumm (Contributor)
7634,Eric Drydale (Contributor)
7634,Rob Dubbin (Contributor)
7634,Glenn Eichler (Contributor)
7634,more…
7635,Émile Zola
7635,Henri Mitterand (Editor)
7636,Sidney Sheldon
7637,Tove Jansson
7637,Thomas Warburton (translator)
7638,Allan C. Weisbecker
7639,Tiffany Reisz (Goodreads Author)
7640,Sarra Manning
7641,Judith McNaught
7642,Kimberley Freeman
7643,Lee Child (Goodreads Author)
7644,Kristen Pro(Goodreads Author)
7645,Cristin Terrill (Goodreads Author)
7646,Sven Hassel
7647,Alice Walker
7648,Martin Millar (Goodreads Author)
7648,Neil Gaiman (Goodreads Author) (Introduction)
7649,Erin Hunter
7650,Jennifer Laurens (Goodreads Author)
7651,Peter Carey
7652,Eric Wilson (Goodreads Author)
7653,Tilly Bagshawe
7653,Sidney Sheldon
7654,Ayu Utami
7655,Dani Alexander (Goodreads Author)
7656,Erin Noelle (Goodreads Author)
7657,Albert Camus
7657,Pierre-Louis Rey
7657,P. Morgan (Translator)
7657,E.T. Jones (Translator)
7658,Camilo Castelo Branco
7659,Shannon Messenger (Goodreads Author)
7660,Jasmine Rose (Goodreads Author)
7661,Magda Szabó
7661,Len Rix (Translator)
7662,Alanea Alder (Goodreads Author)
7663,Kiersten White (Goodreads Author)
7664,Rick Fox (Goodreads Author)
7665,Jennifer Lynn Barnes (Goodreads Author)
7666,Stephen R. Lawhead
7667,Rabindranath Tagore
7667,W.B. Yeats (Introduction)
7668,Francine Rivers (Goodreads Author)
7669,Timothy Findley
7670,Simon Singh
7671,Alessandro D'Avenia
7672,Ruth Warburton (Goodreads Author)
7673,Dylan Thomas
7674,John Grisham (Goodreads Author)
7675,Maya Banks (Goodreads Author)
7676,Gil Vicente
7677,Karl Ove Knausgård
7678,Sara B. Larson (Goodreads Author)
7679,Tillie Cole (Goodreads Author)
7680,Albert Camus
7680,Anthony Bower (Translator)
7680,Herbert Read (Foreword)
7681,L.M. Montgomery
7682,Andy Warhol
7683,Hayden Herrera
7684,Larry McMurtry
7685,Joseph Delaney (Goodreads Author)
7686,Kelley Armstrong (Goodreads Author)
7687,Isaac Asimov
7688,Julie Powell
7689,Bill Martin Jr.
7689,Eric Carle (Illustrator)
7690,Christine Zolendz (Goodreads Author)
7691,Ais (Goodreads Author)
7691,Santino Hassell (Goodreads Author)
7692,Michael Crichton
7693,Danilo Kiš
7693,Michael Henry Heim (Translator)
7694,Mario Puzo
7694,Carol Gino (Goodreads Author)
7695,Veronica Roth (Goodreads Author)
7696,Shaun David Hutchinson (Goodreads Author)
7697,Terry Kay
7698,James Rollins (Goodreads Author)
7699,Cornelius Ryan
7700,Helen Dunmore
7701,Morris Gleitzman
7702,Bodie Thoene (Goodreads Author)
7702,Brock Thoene
7703,Juliet Marillier (Goodreads Author)
7704,Darren Shan (Goodreads Author)
7705,Linda Sue Park
7706,Cecelia Ahern
7707,Tui T. Sutherland
7708,G.I. Gurdjieff
7709,Dave Eggers
7710,Halldór Laxness
7710,Philip Roughton (Translator)
7710,Adam Haslett (Goodreads Author) (Introduction)
7711,Erin Hunter
7712,Anne McCaffrey
7713,Димитър Талев
7714,Terry Pratchett
7715,Gail Carriger (Goodreads Author)
7716,Aurora Rose Reynolds (Goodreads Author)
7717,Christine Zolendz (Goodreads Author)
7718,Grant Morrison
7718,Frank Quitely
7719,Larry Correia
7720,B.B. Reid (Goodreads Author)
7721,Roan Parrish (Goodreads Author)
7722,Larry Correia
7723,Amy Tintera (Goodreads Author)
7724,Robin Roe (Goodreads Author)
7725,Emma Donoghue (Goodreads Author)
7726,Douglas Wood (Goodreads Author)
7726,Cheng-Khee Chee (Illustrator)
7727,Maeve Binchy
7728,Harlan Coben (Goodreads Author)
7729,Carl Sagan
7730,Olaf Stapledon
7731,Brian Greene
7732,Abbi Glines (Goodreads Author)
7733,Karen Cushman (Goodreads Author)
7734,Beverly Cleary
7735,Agatha Christie
7736,James Dashner (Goodreads Author)
7737,Amber Lee
7738,Shannon Messenger (Goodreads Author)
7739,Jesmyn Ward (Goodreads Author)
7740,F. Scott Fitzgerald
7740,Matthew J. Bruccoli (Editor)
7741,Edward Bloor
7742,Celia Rees (Goodreads Author)
7743,Sally Gardner
7744,Peter Carey
7745,Ralph Helfer
7746,Ann M. Martin
7746,Laura Godwin
7746,Brian Selznick (Illustrator )
7747,C.J. Cherryh (Goodreads Author)
7748,Anthony Trollope
7748,David Skilton (Introduction)
7748,Robin Gilmour (Editor)
7749,Robert Ludlum
7750,Patrick Süskind
7751,Laurelin Paige (Goodreads Author)
7752,Willem Frederik Hermans
7753,Sam Savage
7753,Michael Mikolowski (Illustrator)
7754,T.M. Mendes (Goodreads Author)
7755,Ken Liu (Goodreads Author)
7756,Elizabeth Berg
7757,Virginia Woolf
7758,Lynn Flewelling (Goodreads Author)
7759,Jeffrey Overstreet (Goodreads Author)
7760,Karin Slaughter (Goodreads Author)
7761,Lois McMaster Bujold (Goodreads Author)
7762,Daniel Wallace
7763,Claude Brown
7763,Claude Brown
7764,Jaci Burton (Goodreads Author)
7765,Blaise Pascal
7765,Anthony Levi (Editor)
7765,A.J. Krailsheimer (Translator)
7765,Honor Levi (Translator)
7766,Sarah Alderson (Goodreads Author)
7767,Daniel Glattauer
7768,Odette Beane
7769,Leopold von Sacher-Masoch
7769,Larry Wolff (Introduction)
7769,Joachim Neugroschel (Translation)
7770,Jeaniene Frost (Goodreads Author)
7771,Jean M. Auel
7772,Victoria Aveyard (Goodreads Author)
7773,Tess Gerritsen (Goodreads Author)
7774,James Frey
7775,Lois Lowry (Goodreads Author)
7776,Erin Hunter
7777,Susan Kay
7778,William Kennedy
7779,Isaac Asimov
7780,Douglas Coupland (Goodreads Author)
7781,Sherrilyn Kenyon (Goodreads Author)
7782,Holly Goldberg Sloan (Goodreads Author)
7783,Michelle Paver
7784,Leslie Garland (Goodreads Author)
7785,Beth O'Leary (Goodreads Author)
7786,Michael Baigent
7786,Richard Leigh
7786,Henry Lincoln
7787,Lee Child (Goodreads Author)
7788,Joan Didion
7789,Orson Scott Card
7790,Kathy Reichs (Goodreads Author)
7790,Brendan Reichs (Goodreads Author)
7791,Agatha Christie
7791,Steven Saylor (Introduction)
7792,C.J. Box
7793,Bertrand Russell
7794,Gaston Leroux
7795,Nina LaCour (Goodreads Author)
7795,David Levithan (Goodreads Author)
7796,Anonymous
7796,Juan Mascaró (translator)
7797,Raymond E. Feist
7798,Chris Bohjalian (Goodreads Author)
7799,Pat Barker
7800,Tom Wolfe
7801,Terry Brooks (Goodreads Author)
7802,Cherie Priest (Goodreads Author)
7803,Aimee Friedman (Goodreads Author)
7804,James George Frazer
7805,Rusty Young (Goodreads Author)
7805,Thomas McFadden
7806,James Patterson (Goodreads Author)
7806,Michael Ledwidge
7807,Murat Menteş
7808,Sarah J. Maas (Goodreads Author)
7809,Aurora Rose Reynolds (Goodreads Author)
7810,Guillaume Musso
7811,Mel Ryle (Goodreads Author)
7812,Olivia Harvard (Goodreads Author)
7813,Stephenie Meyer
7814,Taylor Hartman
7815,Barbara Pym
7816,Shannon Hale (Goodreads Author)
7817,Gillian Shields
7818,Richard Bach (Goodreads Author)
7818,H. Lee Shapiro (Illustrator)
7819,Dean Koontz (Goodreads Author)
7820,Linda Howard
7821,Elizabeth Hunter (Goodreads Author)
7822,Tove Jansson
7822,Kingsley Hart (Translator)
7823,Seanan McGuire (Goodreads Author)
7824,Franz Kafka
7824,Jason Baker (Introduction and Notes)
7824,Donna Freed (Translation)
7825,Clive Cussler
7826,Richelle Mead (Goodreads Author)
7827,Brian K. Vaughan (Goodreads Author) (Writer)
7827,Fiona Staples (Artist)
7828,Jeff Zentner (Goodreads Author)
7829,Melanie Dickerson (Goodreads Author)
7830,Jesmyn Ward (Goodreads Author)
7831,John Gwynne (Goodreads Author)
7832,Elizabeth Moon
7833,Kevin Henkes
7834,Meg Cabot (Goodreads Author)
7835,William Least Heat-Moon
7836,Kay Hooper
7837,Michelle Sagara
7837,Michelle Sagara West
7838,Inga Muscio
