book_index_id,author
135,Neil Gaiman (Goodreads Author)
136,Alexandre Dumas
136,Robin Buss (Translator)
137,Larry McMurtry
138,Patrick Süskind
138,John E. Woods (Translator)
139,Louis Sachar (Goodreads Author)
140,C.S. Lewis
141,Alan Moore (Goodreads Author)
141,Dave Gibbons (Illustrator/Letterer)
141,John Higgins (Colorist)
142,Stephen King (Goodreads Author)
143,Rick Riordan (Goodreads Author)
144,Laura Ingalls Wilder
144,Garth Williams (Illustrator)
145,Dante Alighieri
145,Allen Mandelbaum (Translator)
145,Eugenio Montale (Introduction)
146,J.M. Barrie
146,Michael Hague (Illustrator)
147,Erich Maria Remarque
147,Arthur Wesley Wheen (Translator)
148,J.R.R. Tolkien
149,Reduced Shakespeare Company
149,Adam Long (Contributor)
149,Daniel Singer (Contributor)
149,Jess Winfield (Editor)
150,Gabriel García Márquez
150,Edith Grossman (Translator)
151,Richelle Mead (Goodreads Author)
152,Veronica Roth (Goodreads Author)
153,Colleen McCullough
154,Nicholas Sparks (Goodreads Author)
155,Dr. Seuss
156,Douglas Adams
157,Ian McEwan
158,Oscar Wilde
159,Elizabeth Gilbert (Goodreads Author)
160,Zora Neale Hurston
161,Alexandre Dumas
162,L. Frank Baum
162,W.W. Denslow (Illustrator)
163,Richelle Mead (Goodreads Author)
164,Margaret Wise Brown
164,Clement Hurd (Illustrator)
165,Dr. Seuss
166,Terry Pratchett
166,Neil Gaiman (Goodreads Author)
167,Richelle Mead (Goodreads Author)
168,Thomas Hardy
168,Margaret R. Higonnet (Introduction)
168,Maria Grazia Griffini (Translator)
168,Tim Dolin (Notes)
169,Pearl S. Buck
170,Joseph Conrad
170,Aníbal Fernandes (Translator)
171,Rick Riordan (Goodreads Author)
172,William Shakespeare
172,Paul Werstine (Editor)
172,Barbara A. Mowat (Editor)
172,Catherine Belsey (Contributor)
173,Cassandra Clare (Goodreads Author)
174,Kahlil Gibran
175,Marion Zimmer Bradley
176,Rick Riordan (Goodreads Author)
177,Rick Riordan (Goodreads Author)
178,Amy Tan (Goodreads Author)
179,Jane Carruth (Adapted By)
179,Lewis Carroll (Original Story By)
179,Rene Cloke (Illustrator)
180,Jack London
180,Avi (Introduction)
181,Richard Bach (Goodreads Author)
181,Russell Munson (Photographer)
182,Gustave Flaubert
182,Mark Overstall (Contributor)
182,Paul De Man (Editor)
182,Malcolm Bowie (Introduction)
182,Margaret Mauldon (Translator)
183,Norton Juster
183,Jules Feiffer (Illustrator)
184,Katherine Paterson
185,Suzanne Collins
185,Guillaume Fournier (Translator)
185,Pilar Ramírez Tello (Goodreads Author) (Translator)
185,Hanna Hörl (Illustrator)
185,Sylke Hachmeister (Translator)
185,Peter Klöss (Translator)
186,Dr. Seuss
187,Stieg Larsson
187,Reg Keeland (Translator)
188,James Dashner (Goodreads Author)
189,Michael Ende
189,Ralph Manheim (Translator)
189,Roswitha Quadflieg (Illustrator)
190,Charles Dickens
190,Philip Horne (Introduction)
190,Gerald Dickens (Narrator)
190,查尔斯·狄更斯
190,吴倩卓 (Translator)
191,James Joyce
191,Morris L. Ernst (Foreword)
191,John M. Woolsey (Foreword)
192,Robert Louis Stevenson
192,David W. Whitehead (Introduction)
192,Richard S. Hartmetz (Goodreads Author) (Editor)
193,E.L. James (Goodreads Author)
194,Jean M. Auel
195,George R.R. Martin
196,Geoffrey Chaucer
196,Nevill Coghill (Translator)
197,John Irving (Goodreads Author)
198,Ernest Hemingway
199,Charles Dickens
199,Jeremy Tambling (Introduction)
200,Jay Asher (Goodreads Author)
200,Knut Krüger (Übersetzer)
201,Gregory Maguire
201,Douglas Smith (Illustrator)
202,James Clavell
203,Jonathan Safran Foer (Goodreads Author)
204,Agatha Christie
205,Philip Pullman
206,Frances Hodgson Burnett
206,Nancy Bond (Foreword)
207,Philippa Gregory (Goodreads Author)
208,Thomas Keneally
209,John Boyne
210,Michael Crichton
211,Richelle Mead (Goodreads Author)
212,Erin Morgenstern (Goodreads Author)
213,Lauren Kate (Goodreads Author)
214,J.R.R. Tolkien
214,Christopher Tolkien (Editor)
214,Ted Nasmith (Illustrator)
215,Ki Longfellow (Goodreads Author)
216,Toni Morrison
217,Franz Kafka
217,Max Brod (Afterword)
217,Willa Muir (Translator)
217,Edwin Muir (Translator)
218,John Kennedy Toole
218,Walker Percy (Foreword)
219,Ernest Hemingway
220,Kiera Cass (Goodreads Author)
221,Margery Williams Bianco
221,William Nicholson (Illustrator)
222,Suzanne Collins
223,Rick Riordan (Goodreads Author)
224,Sarah J. Maas (Goodreads Author)
225,Richelle Mead (Goodreads Author)
226,Cassandra Clare (Goodreads Author)
227,Homer
227,Robert Fagles (Translator)
227,Bernard Knox (Introduction)
228,Arthur Miller
228,Christopher Bigs(Introduction)
229,Kurt Vonnegut Jr.
230,Arundhati Roy (Goodreads Author)
230,Claude Demanuelli (Translator)
230,Barbara Auer (Narrator)
230,Diana Quick (Reading)
230,Luana Stoica (trad.)
230,Donada Peters (Narrator)
230,Josep Julià Ballbé (Translator)
231,Kenneth Grahame
231,Gillian Avery (Introduction)
232,C.S. Lewis
233,Tracy Chevalier (Goodreads Author)
234,Corrie ten Boom
234,John Sherrill
234,Elizabeth Sherrill (Goodreads Author)
235,Shel Silverstein
236,Thomas Harris
237,Maggie Stiefvater (Goodreads Author)
238,Scott Westerfeld (Goodreads Author)
239,Cassandra Clare (Goodreads Author)
240,Viktor E. Frankl
240,Harold S. Kushner (Foreword)
240,William J. Winslade (Afterword)
240,Isle Lasch (Translator)
241,Wally Lamb (Goodreads Author)
242,Gaston Leroux
242,Alexander Teixeira de Mattos (Translator)
243,John Grogan
244,Gail Carson Levine (Goodreads Author)
245,Haruki Murakami
245,Jay Rubin (Translator)
246,Marissa Meyer (Goodreads Author)
247,Stephen King (Goodreads Author)
248,José Saramago
249,George R.R. Martin
250,William Faulkner
251,William Paul Young
252,P.C. Cast (Goodreads Author)
252,Kristin Cast (Goodreads Author)
253,Mary Ann Shaffer
253,Annie Barrows
254,Ernest Hemingway
255,Hunter S. Thompson
255,Ralph Steadman (Illustrator)
256,Isabel Allende (Goodreads Author)
256,Magda Bogin (Translator)
257,Bill Watterson
258,Alex Haley
259,Stephen King (Goodreads Author)
260,Diana Wynne Jones
261,Robert A. Heinlein
262,Scott O'Dell
263,Stephenie Meyer
264,Stieg Larsson
264,Reg Keeland (Translator)
265,Donna Tartt
266,Janet Fitch (Goodreads Author)
267,Anne Frank
267,Eleanor Roosevelt (Introduction)
267,郭清玲 (Translator)
267,Barbara Mooyaart-Doubleday (Translator)
268,Lauren Oliver (Goodreads Author)
269,Jamie McGuire (Goodreads Author)
270,William Shakespeare
271,Ki Longfellow (Goodreads Author)
272,John Green (Goodreads Author)
273,Anne Rice
274,Laurie Halse Anderson (Goodreads Author)
275,Fyodor Dostoyevsky
275,Anna Brailovsky (Translator)
275,Eva M. Martin (Translator)
275,Constance Garnett (Translator)
275,Martin Geeson (Narrator)
275,Joseph Frank (Introduction)
276,William Shakespeare
277,T.H. White
